CST 2026-08-09 17:43:07.366  1510  1510 W A01b01/HOME: appInstall_InstallEventManager --> notify event, folderId:, isUpdate:false, data:{"bundleName":"cn.alfadb.netbird.r1probe","status":0,"eventType":"com.huawei.hmsapp.appgallery.commonevent.EVENT_INSTALL_STATUS_CHANGE"}
CST 2026-08-09 17:43:07.366  1510  1510 I A01b0a/GESTURE: GestureDockPreferenceUtil --> getRecentDockList bundleName: com.huawei.hmos.settings,appindex 0
CST 2026-08-09 17:43:07.366  1510  1510 I A01b0a/GESTURE: GestureDockPreferenceUtil --> dockDataList size is 1
CST 2026-08-09 17:43:07.367  1510  1510 I A01b0a/GESTURE: GestureDockPreferenceUtil --> recentList length is 1
CST 2026-08-09 17:43:07.368  1510  1510 I A01b01/HOME: RdbOperation_RdbStoreManager: updateSettings key:page_count value:2
CST 2026-08-09 17:43:07.368  1510  1510 I A01b0a/GESTURE: GestureDockPreferenceUtil --> recentList length is 1
CST 2026-08-09 17:43:07.370  1510  1510 I A01b01/HOME: PreLoadViewModel --> preloadNextPage preload done, page: 0/2
CST 2026-08-09 17:43:07.378  1510  1510 I A01b01/HOME: SingePage --> onDesktopModeChange index: 1, scaleCenterX: 50%
CST 2026-08-09 17:43:07.379  1510  1510 I A01b01/HOME: SingePage --> isCurrentPageBlank false index 1
CST 2026-08-09 17:43:07.379  1510  1510 E A01b01/HOME: DragEventManager: registerEvent callback is null, event:drop_start_SwiperPage_Grid_WorkSpace_3
CST 2026-08-09 17:43:07.379  1510  1510 I A01b01/HOME: DragEventManager: register drag event SwiperPage_Grid_WorkSpace_3 success
CST 2026-08-09 17:43:07.380  1510  2640 W A01b01/HOME: RdbOperation_taskPool appInstall --> insertLayoutInfoNotExist end insertId:35
CST 2026-08-09 17:43:07.380  1510  2640 I A01b00/SCB: RdbOperation_RdbStoreHelper: rdbStore release
CST 2026-08-09 17:43:07.386  1510  1510 I A01b01/HOME: PreLoadViewModel --> getNextPreload>>> p:3
CST 2026-08-09 17:43:07.386  1510  1510 I A01b01/HOME: PreLoadViewModel --> preloadNextPage begin preloadPageIndex: 1/2, tryCount: 0
CST 2026-08-09 17:43:07.387  1510  1510 I A01b01/HOME: PageDesktopViewModel --> publish EVENT_DESKTOP_LAYOUT_REFRESH_FINISHED success, delayMs: 0
CST 2026-08-09 17:43:07.387  1510  1510 I A01b01/HOME: RdbOperation_RdbStoreManager: updateSettings page_count to sp successs
CST 2026-08-09 17:43:07.387  1510  1510 I A01b01/HOME: PageDesktopViewModel --> publish EVENT_DESKTOP_LAYOUT_REFRESH_FINISHED success, delayMs: 0
CST 2026-08-09 17:43:07.387  1510  1510 I A01b01/HOME: RdbOperation_RdbStoreManager: updateSettings page_count to sp successs
CST 2026-08-09 17:43:07.387  1510  1510 I A01b01/HOME: SwiperPage --> build item page: 1, swiperKey: 3, mMargin: 8.114285714285717, mColumnsGap: 0, mRowsGap: 0,mItemPadding: 8.620689655172415, mNameLines: 1, mMaxNameLines: 2, mWorkSpaceMarginTop: 23.47586206896551, mGridWidth: 360.9142857142857,mGridHeight: 600,mIconSize: 58, mWorkSpacePadding: 0, mWorkSpacePaddingTop: 0,mWorkSpacePaddingBottom: 0, mGridSpaceWidth: 369.02857142857147, mGridSpaceHeight: 708, isOuterDesktop:false
CST 2026-08-09 17:43:07.387  1510  1510 W A01b01/HOME: QuitAppRectViewModel --> initSwiperParam openFolderLeftX:39.714285714285715, openFolderRightX:337.447619047619, desktopLeftX:0, desktopRightX:377.14285714285717, screenWidth: 377.14285714285717
CST 2026-08-09 17:43:07.388  1510  1510 W A01b01/HOME: QuitAppRectViewModel --> gridDesktopTopDistance left:218
